regionCode,region,countryCode,country,year,estimate,p.estimate,lowerB,upperB
AFR,Africa,AGO,Angola,2023,320 000 [280 000 - 380 000],320000,280000,380000
AFR,Africa,AGO,Angola,2022,320 000 [280 000 - 380 000],320000,280000,380000
AFR,Africa,AGO,Angola,2021,320 000 [280 000 - 380 000],320000,280000,380000
AFR,Africa,AGO,Angola,2020,320 000 [280 000 - 370 000],320000,280000,370000
AFR,Africa,AGO,Angola,2015,300 000 [260 000 - 350 000],300000,260000,350000
AFR,Africa,AGO,Angola,2010,250 000 [220 000 - 290 000],250000,220000,290000
AFR,Africa,AGO,Angola,2005,190 000 [160 000 - 220 000],190000,160000,220000
AFR,Africa,AGO,Angola,2000,140 000 [110 000 - 160 000],140000,110000,160000
AFR,Africa,BDI,Burundi,2023,81 000 [73 000 - 93 000],81000,73000,93000
AFR,Africa,BDI,Burundi,2022,82 000 [73 000 - 94 000],82000,73000,94000
AFR,Africa,BDI,Burundi,2021,82 000 [73 000 - 94 000],82000,73000,94000
AFR,Africa,BDI,Burundi,2020,82 000 [74 000 - 94 000],82000,74000,94000
AFR,Africa,BDI,Burundi,2015,85 000 [76 000 - 97 000],85000,76000,97000
AFR,Africa,BDI,Burundi,2010,94 000 [84 000 - 110 000],94000,84000,110000
AFR,Africa,BDI,Burundi,2005,100 000 [88 000 - 110 000],100000,88000,110000
AFR,Africa,BDI,Burundi,2000,120 000 [100 000 - 140 000],120000,100000,140000
AFR,Africa,BEN,Benin,2023,68 000 [57 000 - 82 000],68000,57000,82000
AFR,Africa,BEN,Benin,2022,68 000 [57 000 - 83 000],68000,57000,83000
AFR,Africa,BEN,Benin,2021,69 000 [58 000 - 84 000],69000,58000,84000
AFR,Africa,BEN,Benin,2020,69 000 [59 000 - 84 000],69000,59000,84000
AFR,Africa,BEN,Benin,2015,71 000 [61 000 - 84 000],71000,61000,84000
AFR,Africa,BEN,Benin,2010,68 000 [58 000 - 80 000],68000,58000,80000
AFR,Africa,BEN,Benin,2005,66 000 [57 000 - 77 000],66000,57000,77000
AFR,Africa,BEN,Benin,2000,63 000 [53 000 - 74 000],63000,53000,74000
AFR,Africa,BFA,Burkina Faso,2023,95 000 [84 000 - 110 000],95000,84000,110000
AFR,Africa,BFA,Burkina Faso,2022,97 000 [86 000 - 110 000],97000,86000,110000
AFR,Africa,BFA,Burkina Faso,2021,99 000 [88 000 - 110 000],99000,88000,110000
AFR,Africa,BFA,Burkina Faso,2020,100 000 [89 000 - 120 000],100000,89000,120000
AFR,Africa,BFA,Burkina Faso,2015,110 000 [97 000 - 130 000],110000,97000,130000
AFR,Africa,BFA,Burkina Faso,2010,120 000 [100 000 - 140 000],120000,100000,140000
AFR,Africa,BFA,Burkina Faso,2005,130 000 [110 000 - 150 000],130000,110000,150000
AFR,Africa,BFA,Burkina Faso,2000,150 000 [120 000 - 170 000],150000,120000,170000
AFR,Africa,BWA,Botswana,2023,360 000 [340 000 - 380 000],360000,340000,380000
AFR,Africa,BWA,Botswana,2022,360 000 [340 000 - 380 000],360000,340000,380000
AFR,Africa,BWA,Botswana,2021,360 000 [340 000 - 380 000],360000,340000,380000
AFR,Africa,BWA,Botswana,2020,360 000 [340 000 - 380 000],360000,340000,380000
AFR,Africa,BWA,Botswana,2015,350 000 [330 000 - 370 000],350000,330000,370000
AFR,Africa,BWA,Botswana,2010,320 000 [310 000 - 340 000],320000,310000,340000
AFR,Africa,BWA,Botswana,2005,300 000 [280 000 - 310 000],300000,280000,310000
AFR,Africa,BWA,Botswana,2000,270 000 [260 000 - 290 000],270000,260000,290000
AFR,Africa,CIV,Cote d'Ivoire,2023,420 000 [370 000 - 480 000],420000,370000,480000
AFR,Africa,CIV,Cote d'Ivoire,2022,430 000 [380 000 - 490 000],430000,380000,490000
AFR,Africa,CIV,Cote d'Ivoire,2021,430 000 [390 000 - 490 000],430000,390000,490000
AFR,Africa,CIV,Cote d'Ivoire,2020,440 000 [390 000 - 490 000],440000,390000,490000
AFR,Africa,CIV,Cote d'Ivoire,2015,460 000 [420 000 - 510 000],460000,420000,510000
AFR,Africa,CIV,Cote d'Ivoire,2010,520 000 [470 000 - 570 000],520000,470000,570000
AFR,Africa,CIV,Cote d'Ivoire,2005,610 000 [550 000 - 690 000],610000,550000,690000
AFR,Africa,CIV,Cote d'Ivoire,2000,720 000 [630 000 - 820 000],720000,630000,820000
AFR,Africa,COD,Democratic Republic of the Congo,2023,520 000 [410 000 - 640 000],520000,410000,640000
AFR,Africa,COD,Democratic Republic of the Congo,2022,510 000 [410 000 - 630 000],510000,410000,630000
AFR,Africa,COD,Democratic Republic of the Congo,2021,510 000 [410 000 - 610 000],510000,410000,610000
AFR,Africa,COD,Democratic Republic of the Congo,2020,500 000 [410 000 - 600 000],500000,410000,600000
AFR,Africa,COD,Democratic Republic of the Congo,2015,490 000 [410 000 - 600 000],490000,410000,600000
AFR,Africa,COD,Democratic Republic of the Congo,2010,530 000 [450 000 - 640 000],530000,450000,640000
AFR,Africa,COD,Democratic Republic of the Congo,2005,570 000 [470 000 - 710 000],570000,470000,710000
AFR,Africa,COD,Democratic Republic of the Congo,2000,610 000 [490 000 - 760 000],610000,490000,760000
AFR,Africa,COG,Congo,2023,120 000 [98 000 - 170 000],120000,98000,170000
AFR,Africa,COG,Congo,2022,120 000 [96 000 - 160 000],120000,96000,160000
AFR,Africa,COG,Congo,2021,120 000 [96 000 - 160 000],120000,96000,160000
AFR,Africa,COG,Congo,2020,120 000 [94 000 - 150 000],120000,94000,150000
AFR,Africa,COG,Congo,2015,100 000 [89 000 - 120 000],100000,89000,120000
AFR,Africa,COG,Congo,2010,95 000 [84 000 - 110 000],95000,84000,110000
AFR,Africa,COG,Congo,2005,85 000 [75 000 - 96 000],85000,75000,96000
AFR,Africa,COG,Congo,2000,86 000 [73 000 - 98 000],86000,73000,98000
AFR,Africa,COM,Comoros,2023,<200 [<100 - <500],200,0,200
AFR,Africa,COM,Comoros,2022,<200 [<100 - <500],200,0,200
