degradation,treatment,components,rates
Degraded,SG - P. clandestinum,om.k6,0.0037524325354534446
Degraded,SG - P. clandestinum,c.k6,0.007980046763713151
Degraded,SG - P. clandestinum,n.k6,0.020561728906797406
Degraded,SG - P. clandestinum,hemi.k6,0.009582153159708073
Degraded,SG - P. clandestinum,cell.k6,0.011451132526958474
Degraded,SG - P. clandestinum,lig.k6,0.007120470273680529
Degraded,SG - P. clandestinum,cn.k6,0.008301926683382643
Degraded,SG - P. clandestinum,ln.k6,0.00744235019335002
Degraded,SL - A. glucameus,om.k6,0.003439524193324801
Degraded,SL - A. glucameus,c.k6,0.007293195002394772
Degraded,SL - A. glucameus,n.k6,0.01836081838003693
Degraded,SL - A. glucameus,hemi.k6,0.011133676545893636
Degraded,SL - A. glucameus,cell.k6,0.01309767952023969
Degraded,SL - A. glucameus,lig.k6,0.006186331802329056
Degraded,SL - A. glucameus,cn.k6,0.009790477783033213
Degraded,SL - A. glucameus,ln.k6,0.008683614582967498
Degraded,SO - D. nagchana,om.k6,0.003461314599439872
Degraded,SO - D. nagchana,c.k6,0.00759651806471542
Degraded,SO - D. nagchana,n.k6,0.018206733553279307
Degraded,SO - D. nagchana,hemi.k6,0.010636315207555426
Degraded,SO - D. nagchana,cell.k6,0.012785049845421465
Degraded,SO - D. nagchana,lig.k6,0.005443318820259438
Degraded,SO - D. nagchana,cn.k6,0.009995584629971917
Degraded,SO - D. nagchana,ln.k6,0.007842385385515937
Degraded,Mixture of three (1G+1L+1O),om.k6,0.0036774434462162045
Degraded,Mixture of three (1G+1L+1O),c.k6,0.007640146287067632
Degraded,Mixture of three (1G+1L+1O),n.k6,0.018774920754047124
Degraded,Mixture of three (1G+1L+1O),hemi.k6,0.010458978415840566
Degraded,Mixture of three (1G+1L+1O),cell.k6,0.012359364473792683
Degraded,Mixture of three (1G+1L+1O),lig.k6,0.006652865664175582
Degraded,Mixture of three (1G+1L+1O),cn.k6,0.00965114837782034
Degraded,Mixture of three (1G+1L+1O),ln.k6,0.008663867754928289
Degraded,Mixture of nine (3G+3L+3O),om.k6,0.0034841501703931285
Degraded,Mixture of nine (3G+3L+3O),c.k6,0.007425310993800903
Degraded,Mixture of nine (3G+3L+3O),n.k6,0.01901146002742795
Degraded,Mixture of nine (3G+3L+3O),hemi.k6,0.010493077200741163
Degraded,Mixture of nine (3G+3L+3O),cell.k6,0.011653158119148304
Degraded,Mixture of nine (3G+3L+3O),lig.k6,0.005985988698215635
Degraded,Mixture of nine (3G+3L+3O),cn.k6,0.009266833685808745
Degraded,Mixture of nine (3G+3L+3O),ln.k6,0.007827511390223479
Degraded,SG - P. clandestinum,om.k6,3.339856182021846e-4
Degraded,SG - P. clandestinum,c.k6,0.0036952123810354578
Degraded,SG - P. clandestinum,n.k6,0.016965565492885325
Degraded,SG - P. clandestinum,hemi.k6,0.005349079977023166
Degraded,SG - P. clandestinum,cell.k6,0.007294049587120205
Degraded,SG - P. clandestinum,lig.k6,0.008109865882714219
Degraded,SG - P. clandestinum,cn.k6,0.0076132557146170315
Degraded,SG - P. clandestinum,ln.k6,0.012027909216295792
Degraded,SL - A. glucameus,om.k6,3.7990492271727214e-4
Degraded,SL - A. glucameus,c.k6,0.0033826839823094127
Degraded,SL - A. glucameus,n.k6,0.014096648571350638
Degraded,SL - A. glucameus,hemi.k6,0.008487595092139928
Degraded,SL - A. glucameus,cell.k6,0.010051567137642116
Degraded,SL - A. glucameus,lig.k6,0.0066534719642684665
Degraded,SL - A. glucameus,cn.k6,0.010144136571634144
Degraded,SL - A. glucameus,ln.k6,0.013414924553593199
Degraded,SO - D. nagchana,om.k6,2.984670627819316e-4
Degraded,SO - D. nagchana,c.k6,0.0036111576804442095
Degraded,SO - D. nagchana,n.k6,0.015047619511169587
Degraded,SO - D. nagchana,hemi.k6,0.007514468002307924
Degraded,SO - D. nagchana,cell.k6,0.008251334690345008
Degraded,SO - D. nagchana,lig.k6,0.00660220584236292
Degraded,SO - D. nagchana,cn.k6,0.009169338287810427
Degraded,SO - D. nagchana,ln.k6,0.012160386449729138
Degraded,Mixture of three (1G+1L+1O),om.k6,4.3661657340065586e-4
Degraded,Mixture of three (1G+1L+1O),c.k6,0.003746596930079942
Degraded,Mixture of three (1G+1L+1O),n.k6,0.015209660440320263
Degraded,Mixture of three (1G+1L+1O),hemi.k6,0.007338046283477525
Degraded,Mixture of three (1G+1L+1O),cell.k6,0.008950877610405684
Degraded,Mixture of three (1G+1L+1O),lig.k6,0.00665941334070125
Degraded,Mixture of three (1G+1L+1O),cn.k6,0.009322859334559511
Degraded,Mixture of three (1G+1L+1O),ln.k6,0.01223567574518082
Degraded,Mixture of nine (3G+3L+3O),om.k6,2.924847487521454e-4
Degraded,Mixture of nine (3G+3L+3O),c.k6,0.0035549129196306836
Degraded,Mixture of nine (3G+3L+3O),n.k6,0.015430561517107007
Degraded,Mixture of nine (3G+3L+3O),hemi.k6,0.007427347421948262
Degraded,Mixture of nine (3G+3L+3O),cell.k6,0.008829731124750946
Degraded,Mixture of nine (3G+3L+3O),lig.k6,0.006563270252739343
Degraded,Mixture of nine (3G+3L+3O),cn.k6,0.008977334121959467
Degraded,Mixture of nine (3G+3L+3O),ln.k6,0.011985691455068127
Equilibrium,SG - P. clandestinum,om.k6,0.0013719178776750818
Equilibrium,SG - P. clandestinum,c.k6,0.00492189107846824
Equilibrium,SG - P. clandestinum,n.k6,0.018316665952457397
Equilibrium,SG - P. clandestinum,hemi.k6,0.007001536181048886
Equilibrium,SG - P. clandestinum,cell.k6,0.00872341477942695
Equilibrium,SG - P. clandestinum,lig.k6,0.0062924346381181395
Equilibrium,SG - P. clandestinum,cn.k6,0.00748883395247774
Equilibrium,SG - P. clandestinum,ln.k6,0.00885937751212764
Equilibrium,SL - A. glucameus,om.k6,0.0012734069418603616
Equilibrium,SL - A. glucameus,c.k6,0.004479151830579577
Equilibrium,SL - A. glucameus,n.k6,0.015090127978253402
Equilibrium,SL - A. glucameus,hemi.k6,0.009993016422183936
Equilibrium,SL - A. glucameus,cell.k6,0.012348370182625601
Equilibrium,SL - A. glucameus,lig.k6,0.005785524832432311
Equilibrium,SL - A. glucameus,cn.k6,0.010247125013001547
Equilibrium,SL - A. glucameus,ln.k6,0.01155349801485428
Equilibrium,SO - D. nagchana,om.k6,0.002224517488400238
Equilibrium,SO - D. nagchana,c.k6,0.005677743622414966
Equilibrium,SO - D. nagchana,n.k6,0.016380410135757827
Equilibrium,SO - D. nagchana,hemi.k6,0.009189089643655127
Equilibrium,SO - D. nagchana,cell.k6,0.010849603326396413
Equilibrium,SO - D. nagchana,lig.k6,0.0059072320516708006
Equilibrium,SO - D. nagchana,cn.k6,0.009903133605192944
Equilibrium,SO - D. nagchana,ln.k6,0.01013262203444878
Equilibrium,Mixture of three (1G+1L+1O),om.k6,7.233065834751807e-4
Equilibrium,Mixture of three (1G+1L+1O),c.k6,0.004188746557662454
Equilibrium,Mixture of three (1G+1L+1O),n.k6,0.015491544815582976
Equilibrium,Mixture of three (1G+1L+1O),hemi.k6,0.007752455062284401
Equilibrium,Mixture of three (1G+1L+1O),cell.k6,0.009588469133362771
Equilibrium,Mixture of three (1G+1L+1O),lig.k6,0.006651776529799971
Equilibrium,Mixture of three (1G+1L+1O),cn.k6,0.00948312458687931
Equilibrium,Mixture of three (1G+1L+1O),ln.k6,0.011946154559016826
Equilibrium,Mixture of nine (3G+3L+3O),om.k6,9.62763011800581e-4
Equilibrium,Mixture of nine (3G+3L+3O),c.k6,0.004305900239204303
Equilibrium,Mixture of nine (3G+3L+3O),n.k6,0.015923766344470847
Equilibrium,Mixture of nine (3G+3L+3O),hemi.k6,0.008232797796217732
Equilibrium,Mixture of nine (3G+3L+3O),cell.k6,0.009456763757766386
Equilibrium,Mixture of nine (3G+3L+3O),lig.k6,0.006248283832455078
Equilibrium,Mixture of nine (3G+3L+3O),cn.k6,0.009235116614169248
Equilibrium,Mixture of nine (3G+3L+3O),ln.k6,0.011177500207420026
Equilibrium,SG - P. clandestinum,om.k6,0.0027274663691897417
Equilibrium,SG - P. clandestinum,c.k6,0.006905809614711652
Equilibrium,SG - P. clandestinum,n.k6,0.018813022520341345
Equilibrium,SG - P. clandestinum,hemi.k6,0.0077016150191471806
Equilibrium,SG - P. clandestinum,cell.k6,0.010804841121997347
Equilibrium,SG - P. clandestinum,lig.k6,0.006518077144796379
Equilibrium,SG - P. clandestinum,cn.k6,0.008976395920837205
Equilibrium,SG - P. clandestinum,ln.k6,0.00858866345092193
Equilibrium,SL - A. glucameus,om.k6,0.0026762171923100705
Equilibrium,SL - A. glucameus,c.k6,0.006521907682305698
Equilibrium,SL - A. glucameus,n.k6,0.017390254806516847
Equilibrium,SL - A. glucameus,hemi.k6,0.009884710700607393
Equilibrium,SL - A. glucameus,cell.k6,0.014077988347411705
Equilibrium,SL - A. glucameus,lig.k6,0.007285536906241412
Equilibrium,SL - A. glucameus,cn.k6,0.009989754036464222
Equilibrium,SL - A. glucameus,ln.k6,0.010753383260399936
Equilibrium,SO - D. nagchana,om.k6,0.0025858691396371926
Equilibrium,SO - D. nagchana,c.k6,0.006838948141317404
Equilibrium,SO - D. nagchana,n.k6,0.017607528520118508
Equilibrium,SO - D. nagchana,hemi.k6,0.009156393898228688
Equilibrium,SO - D. nagchana,cell.k6,0.012320238299780335
Equilibrium,SO - D. nagchana,lig.k6,0.006651523557546204
Equilibrium,SO - D. nagchana,cn.k6,0.009837219739734698
Equilibrium,SO - D. nagchana,ln.k6,0.009649795155963498
Equilibrium,Mixture of three (1G+1L+1O),om.k6,0.002239783945454198
Equilibrium,Mixture of three (1G+1L+1O),c.k6,0.006106009142177419
Equilibrium,Mixture of three (1G+1L+1O),n.k6,0.01723563479673397
Equilibrium,Mixture of three (1G+1L+1O),hemi.k6,0.008908873244623547
Equilibrium,Mixture of three (1G+1L+1O),cell.k6,0.012087578582291831
Equilibrium,Mixture of three (1G+1L+1O),lig.k6,0.007077041765881543
Equilibrium,Mixture of three (1G+1L+1O),cn.k6,0.00965629719024328
Equilibrium,Mixture of three (1G+1L+1O),ln.k6,0.010627329813947402
Equilibrium,Mixture of nine (3G+3L+3O),om.k6,0.0024956925846792823
Equilibrium,Mixture of nine (3G+3L+3O),c.k6,0.006665212050529108
Equilibrium,Mixture of nine (3G+3L+3O),n.k6,0.01785955890117833
Equilibrium,Mixture of nine (3G+3L+3O),hemi.k6,0.008508464478633565
Equilibrium,Mixture of nine (3G+3L+3O),cell.k6,0.011221752120011955
Equilibrium,Mixture of nine (3G+3L+3O),lig.k6,0.005942318147948753
Equilibrium,Mixture of nine (3G+3L+3O),cn.k6,0.009658635868786564
Equilibrium,Mixture of nine (3G+3L+3O),ln.k6,0.008935741966206211
Degraded,SG - P. clandestinum,om.k6,-2.8282428303837368e-5
Degraded,SG - P. clandestinum,c.k6,0.003490606472401365
Degraded,SG - P. clandestinum,n.k6,0.019379081709821167
Degraded,SG - P. clandestinum,hemi.k6,0.004753806470619387
Degraded,SG - P. clandestinum,cell.k6,0.005749441331260058
Degraded,SG - P. clandestinum,lig.k6,0.012166022881854605
Degraded,SG - P. clandestinum,cn.k6,0.004995133589047094
Degraded,SG - P. clandestinum,ln.k6,0.013670549998500337
Degraded,SL - A. glucameus,om.k6,1.4974288882103445e-4
Degraded,SL - A. glucameus,c.k6,0.0032524963622745694
Degraded,SL - A. glucameus,n.k6,0.014465604954972682
Degraded,SL - A. glucameus,hemi.k6,0.008469708245666783
Degraded,SL - A. glucameus,cell.k6,0.009722123792211528
Degraded,SL - A. glucameus,lig.k6,0.008530880003472541
Degraded,SL - A. glucameus,cn.k6,0.009644992567977255
Degraded,SL - A. glucameus,ln.k6,0.014923376209175228
Degraded,SO - D. nagchana,om.k6,3.4250069485768623e-4
Degraded,SO - D. nagchana,c.k6,0.0035190975955193527
Degraded,SO - D. nagchana,n.k6,0.015308472341127647
Degraded,SO - D. nagchana,hemi.k6,0.008373474527935472
Degraded,SO - D. nagchana,cell.k6,0.008083100377171427
Degraded,SO - D. nagchana,lig.k6,0.0071859527982897214
Degraded,SO - D. nagchana,cn.k6,0.008816425372927511
